version,scenario,total_requests,failed_requests,error_rate,max_vus,lines_processed,avg_response_time,median_response_time,std_response_time,min_response_time,max_response_time,p50_response_time,p75_response_time,p90_response_time,p95_response_time,p99_response_time,cv_response_time,avg_iteration_time,p95_iteration_time
V1,Normal,2900,0,0.0,50,43620,38.660365642413794,22.1783545,65.02619513024199,3.978166,490.088376,22.1783545,39.804792,60.29368339999998,102.54078749999998,480.431387,1.681986035302847,1041.2340137124138,1103.8058545
V1,Latencia,750,0,0.0,50,11370,3048.0149975773334,3043.5626055000002,27.813194895302214,3002.496001,3167.465376,3043.5626055000002,3064.22522025,3082.1265411,3094.34723265,3147.86344908,0.009125019042691421,4052.0675314413334,4111.46257655
V1,Falha,2950,2950,100.0,50,44370,20.029010116949152,14.4887915,20.181746500183962,1.736292,152.563709,14.4887915,24.455437250000003,38.59294639999999,49.96204389999999,136.57818415999995,1.0076257579552352,1021.7359865094916,1051.5580074
V1,Alta_Concorrencia,9115,9115,100.0,212,200000,10.181031054964345,3.097209,41.203893554138205,0.839334,1321.146293,3.097209,5.4615835,11.543941800000004,30.05855709999956,153.8974821200001,4.047123845481925,1388.1041843190962,1713.8174006
V1,FalhasIntermitentes,12508,12508,100.0,67,200000,2.639905007435241,1.9343955,5.970712381528978,0.166292,135.614042,1.9343955,2.37002075,3.353470700000002,4.4143273999999995,12.178444870000023,2.261714858948554,252.83814483682983,479.319375
V1,Recuperacao,12512,12512,100.0,99,200000,2.984427283567775,1.6540835,9.144296209201293,0.681625,318.527709,1.6540835,2.35303125,3.8319499999999995,5.593242149999995,31.448029739999704,3.064003689937326,252.15432819782956,479.04508125
V2,Normal,2950,0,0.0,50,44370,28.190247148813558,18.706541,54.000707209653996,3.39275,438.08325,18.706541,27.027447499999997,38.40992079999999,50.184928649999975,427.2142824099999,1.9155811910619138,1030.2135912854237,1054.40116945
V2,Latencia,750,0,0.0,50,11370,3047.3624574359997,3040.2641685,25.371126828061975,3004.342043,3102.07071,3040.2641685,3071.6103242500003,3084.1548224999997,3091.7481141999997,3097.81224041,0.008325601953306474,4050.7594473239997,4094.93185215
V2,Falha,2950,0,0.0,50,44370,17.0562571379661,11.018457999999999,24.196648415702803,0.834208,188.880167,11.018457999999999,19.118187,30.930370799999988,47.825176899999995,168.72431999999986,1.418637642478001,1018.3502493691525,1048.9574318
V2,Alta_Concorrencia,9105,0,0.0,213,200000,3.3282429247666117,2.188583,10.268958835423643,0.111832,474.484417,2.188583,3.159667,4.976333,6.683333799999999,16.836984999999963,3.085399433739873,1381.3052004592193,1705.0782836
V2,FalhasIntermitentes,11772,0,0.0,65,200000,2.606683577896704,1.864271,4.159382172250141,0.568375,99.895209,1.864271,2.672917,3.8557837,4.947454349999999,13.882435039999807,1.595660557928664,253.30591063688394,479.46329199999997
V2,Recuperacao,11777,0,0.0,99,200000,2.0444946089836122,1.416542,3.9008502900592035,0.599875,242.326167,1.416542,2.026583,3.0644584,4.239100399999993,10.876388919999968,1.907977782342233,251.43715949773562,478.0093712
